author,blush,bronzer,brow_gel,brow_pencil,concealer,eyeliner,eyeshadow,foundation,highlighter,id,lip_balm,lip_gloss,lip_liner,lip_stain,lipstick,mascara,powder,primer,score,keyword
Maybe_Factor,Y,Y,N,N,N,N,Y,Y,Y,ambl5z,N,N,N,N,Y,Y,Y,Y,438,beginner
ashleylibby,N,N,N,N,N,N,N,N,N,ar8tsq,N,N,N,N,N,N,N,N,0,beginner
buttermadam,N,N,N,N,N,N,N,N,N,aqry30,N,N,N,Y,N,N,N,Y,39,beginner
PanAgenderAndBored,N,N,N,N,N,N,N,N,N,aebsne,N,N,N,N,N,N,N,N,0,beginner
the-big-gay-purple,N,N,N,N,N,N,N,N,N,a9rb7o,N,N,N,N,N,N,N,N,5,beginner
sdkjvc,N,N,N,N,N,N,N,N,N,ar1khr,N,N,N,N,N,N,N,N,3,beginner
peachpiper,N,N,N,N,N,N,N,N,N,9oyxcd,N,N,N,N,N,N,N,N,207,beginner
deepsleepthoughts,N,N,N,N,N,N,N,N,N,arf2ex,N,N,N,N,N,N,N,N,3,beginner
juliacar,N,N,N,Y,Y,N,N,N,N,ag0tt7,N,N,N,N,N,N,N,N,441,beginner
Mya10714,N,N,N,N,N,Y,N,Y,N,ajkd29,N,N,N,N,N,N,N,N,35,beginner
ohfarts514,Y,N,N,N,Y,Y,Y,Y,Y,abyqns,N,N,N,N,N,Y,Y,Y,227,beginner
sentimentalbean,N,N,N,N,N,N,N,N,N,9y57q1,N,N,N,N,N,N,N,N,5,beginner
a_yamiswet420,N,N,N,N,N,N,Y,N,N,ai1o80,N,N,N,N,N,Y,N,N,39,beginner
kvrnik,Y,N,N,N,Y,N,N,N,Y,9415by,N,N,N,N,N,Y,Y,Y,1559,beginner
AromaticMongoose,N,N,N,N,N,N,N,N,N,apo22j,N,N,N,N,N,N,N,N,6,beginner
earthlybody,N,N,N,N,N,Y,Y,N,N,an41em,N,N,N,N,N,Y,N,N,6,beginner
addictedto_love,N,N,N,N,N,N,N,N,N,apo9yf,N,N,N,N,N,N,N,N,2,beginner
qlowffria,N,N,N,N,N,N,N,N,N,as5c81,N,N,N,N,N,N,N,N,1,beginner
ninabina__,N,N,N,N,N,N,N,N,N,a6nv8p,N,N,N,N,N,N,N,N,0,beginner
Freakmo,N,N,N,N,N,N,N,N,N,9ecq9f,N,N,N,N,N,N,N,N,167,beginner
racheldftw,Y,Y,N,N,Y,N,Y,Y,N,ahiw4m,N,N,N,N,N,Y,Y,Y,19,beginner
PrettyRegion,N,N,N,N,N,N,N,N,N,a3rimt,N,N,N,N,N,N,N,N,2,beginner
azformatfan,N,N,N,N,N,N,N,N,N,9p3lt1,N,N,N,N,N,N,N,N,11,beginner
Nythys,N,N,N,N,N,N,N,N,N,agb75c,N,N,N,N,N,N,N,N,7,beginner
beelightful,N,N,N,N,N,N,N,N,N,aaz0cb,N,N,N,N,N,N,N,N,5,beginner
Triknitter,N,N,N,N,N,Y,Y,N,N,ab2r1d,N,N,N,N,N,Y,Y,Y,10,beginner
goldencandyapples,N,N,N,N,N,N,N,N,N,abz2er,N,N,N,N,N,N,N,N,8,beginner
treetorpedo,N,N,N,N,N,N,N,N,N,ai36gl,N,N,N,N,N,N,N,N,0,beginner
unreaL_saviD,N,N,N,N,Y,N,Y,N,N,afgjgc,N,N,N,N,N,Y,N,N,3,beginner
daipicoletto,N,N,N,N,N,N,N,N,N,aeh3pk,N,N,N,N,N,N,N,N,5,beginner
amandapanda14,N,N,N,N,N,N,N,N,N,acyzhz,N,N,N,N,N,Y,N,Y,7,beginner
chewbubbIegumkickass,N,N,N,N,N,N,N,N,N,adnkvi,N,N,N,N,N,N,N,N,1,beginner
marimakeup,N,N,N,N,N,N,N,N,N,ab9nsg,N,N,N,N,N,N,N,N,6,beginner
timidgaytrash,N,N,N,N,N,N,N,N,N,aeambz,N,N,N,N,N,N,N,N,1,beginner
yeezusandmarychain,N,N,N,N,N,N,N,N,N,a7p8l0,N,N,N,N,N,N,N,N,2,beginner
zodacova,N,N,N,N,N,N,N,N,N,agfdhr,N,N,N,N,N,N,N,N,0,beginner
jesmi19,N,N,N,N,N,N,N,N,N,9iv404,N,N,N,N,N,N,N,N,2,beginner
regina-george-,N,N,N,N,N,N,N,N,N,a0yen6,N,N,N,N,N,N,N,N,22,beginner
MrsIronbad,N,N,N,N,N,N,N,N,N,9ffisy,N,N,N,N,N,N,N,N,1073,beginner
Stillflying,N,N,N,N,N,N,N,Y,N,9iq6ec,N,N,N,N,N,N,N,N,6,beginner
Modern-witch,N,N,N,N,N,N,N,N,N,a5der7,N,N,N,N,N,N,N,N,5,beginner
Argon847,N,N,N,N,N,N,N,N,N,a7n21w,N,N,N,N,N,N,N,N,7,beginner
QuietInterloper,N,N,N,N,N,N,N,N,N,a78my2,N,N,N,N,N,N,N,N,3,beginner
bananeitor,N,N,N,N,N,N,N,N,N,9pq9r1,N,N,N,N,N,N,N,N,2,beginner
tinkercatsoldier,N,N,N,N,N,N,N,N,N,a9zihr,N,N,N,N,N,N,N,N,0,beginner
goat_smuggla,N,N,N,N,N,N,N,N,N,a83kxr,N,N,N,N,N,N,N,N,4,beginner
jaycieo1,N,N,N,N,N,N,N,N,N,9enp9q,N,N,N,N,N,N,N,N,5,beginner
not_brent_spiner,N,N,N,N,N,N,N,N,N,ac6lhg,N,N,N,N,N,N,N,N,1,beginner
pinksandwich,N,N,N,N,N,N,N,N,N,a61yv9,N,N,N,N,N,N,N,N,3,beginner
cealion,N,N,N,N,N,N,N,N,N,9xctvj,N,N,N,N,N,N,N,N,5,beginner
MonkeeCatcher,Y,N,N,N,N,N,N,N,N,9w1p96,N,N,N,N,Y,Y,N,N,39,beginner
iseasi,N,N,N,N,N,N,N,N,N,9x16p3,N,N,N,N,N,N,N,N,8,beginner
BreakfastInSicily,N,Y,N,Y,Y,N,N,Y,N,a4nvg8,N,N,Y,N,N,Y,Y,Y,0,beginner
MiniPrix,N,N,N,N,N,Y,Y,N,N,9pvuo4,N,N,N,N,N,N,N,Y,95,beginner
emmyloo22,Y,N,N,N,Y,Y,Y,Y,N,9x6i6e,N,N,N,N,N,Y,Y,N,12,beginner
waterbottlefalling,N,N,N,N,N,N,N,N,N,97m25c,N,N,N,N,N,N,N,N,3,beginner
freya_r_b,N,N,N,N,N,N,N,N,N,a83hms,N,N,N,N,N,N,N,N,5,beginner
FutureHolograms,N,N,N,N,N,N,N,N,N,9wd0ow,N,N,N,N,N,N,N,N,8,beginner
Peachzelli,N,N,N,N,N,N,N,N,N,a1wd28,N,N,N,N,N,N,N,N,2,beginner
UnlikelyJuice,N,N,N,N,N,N,N,N,N,9pubrv,N,N,N,N,N,N,N,N,6,beginner
wontgraham,N,N,N,N,N,N,N,N,N,9gz1ae,N,N,N,N,N,N,N,N,13,beginner
TurtleOnTheRocks,N,N,N,N,N,N,N,N,N,8ye7vt,N,N,N,N,N,N,N,N,2,beginner
